ticker,name,sector,industry,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,returnOnEquity,returnOnAssets,debtToEquity,revenueGrowth,earningsGrowth,dividendYield,payoutRatio,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,currency
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,Financial Services,Banks - Regional,402035044253696,542006317154304.0,6.863224,6.0655627,1.1887372,0.18135999,0.02715,,0.163,0.143,15.31,0.8879,0.216,4270.0,2540.0,IDR
BMRI,PT Bank Mandiri (Persero) Tbk,Financial Services,Banks - Regional,355600005332992,462266692534272.0,6.0786877,5.7424493,1.1649277,0.21040002,0.02575,,0.015,0.167,12.39,0.90330005,-0.023,5375.0,3650.0,IDR
BBCA,PT Bank Central Asia Tbk,Financial Services,Banks - Regional,688106911039488,572436194000896.0,11.88455,11.606698,2.6554267,0.22972,0.03661,,0.025,0.037,6.41,0.71339995,-0.001,8975.0,4820.0,IDR
BBNI,PT Bank Negara Indonesia (Persero) Tbk,Financial Services,Banks - Regional,115496074608640,90616302141440.0,5.6870303,4.5956564,0.71645206,0.12029,0.01584,,0.078,0.052,11.06,1.3275,0.192,4730.0,2990.0,IDR
BDMN,PT Bank Danamon Indonesia Tbk,Financial Services,Banks - Regional,36455351058432,52316845637632.0,8.552496,10.495807,0.6825866,0.08383001,0.017180001,,0.151,0.35,3.79,0.261,0.657,5000.0,2310.0,IDR
BNGA,PT Bank CIMB Niaga Tbk,Financial Services,Banks - Regional,38560187023360,24186948943872.0,5.607236,5.390216,0.6516192,0.119770005,0.01857,,0.048,-0.022,10.4,0.5727,0.05,1920.0,1450.0,IDR
BNLI,PT Bank Permata Tbk,Financial Services,Banks - Regional,83578830454784,79500876447744.0,22.671509,,1.8137692,0.08299,0.0141199995,,0.093,0.166,1.52,0.2941,0.862,6500.0,2290.0,IDR
NISP,PT Bank OCBC NISP Tbk,Financial Services,Banks - Regional,26501816778752,42520935399424.0,5.170793,,0.5942156,0.12162,0.01692,,-0.036,0.053,3.83,0.4745,0.095,1590.0,1100.0,IDR
MAYA,PT Bank Mayapada Internasional Tbk,Financial Services,Banks - Regional,4893389094912,-10057013002240.0,86.97674,,0.1161726,0.0031,0.00035,,0.062,2.296,,0.0,0.32,334.0,158.0,IDR
BNII,PT Bank Maybank Indonesia Tbk,Financial Services,Banks - Regional,14023596703744,18694059065344.0,8.876025,,0.43626294,0.050219998,0.008450001,,-0.002,-0.204,4.16,0.2824,0.198,236.0,170.0,IDR
AGRO,PT Bank Raya Indonesia Tbk,Financial Services,Banks - Regional,3281051189248,3994131628032.0,,70.0,1.1130545,-0.15855,-0.03889,,0.112,-0.595,,0.0,0.524,272.0,119.0,IDR
BJBR,PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,Financial Services,Banks - Regional,7891082280960,37199508668416.0,6.775068,3.6585367,0.4645125,0.07808,0.0071799997,,0.005,0.029,10.43,0.77019995,0.058,900.0,700.0,IDR
BJTM,PT Bank Pembangunan Daerah Jawa Timur Tbk,Financial Services,Banks - Regional,7582826102784,17612897517568.0,4.636005,5.6933484,0.5517136,0.10316,0.01368,,0.5,0.302,11.21,0.5023,0.161,605.0,482.0,IDR
BSIM,PT Bank Sinarmas Tbk,Financial Services,Banks - Regional,13604151623680,5976711757824.0,47.39011,,1.6183583,0.03625,0.00599,,-0.19,0.043,,0.0,0.118,1760.0,635.0,IDR
BTPN,PT Bank SMBC Indonesia Tbk,Financial Services,Banks - Regional,22569405120512,70413195411456.0,50.47619,9.074954,0.47163954,-0.0025499999,-0.00057,,0.003,-0.106,0.45,1.2582,0.293,2530.0,1900.0,IDR
INPC,PT Bank Artha Graha Internasional Tbk,Financial Services,Banks - Regional,2507703058432,-332089196544.0,,,0.6555678,-0.12888,-0.01741,,1.685,2.149,,0.0,-0.444,318.0,102.0,IDR
