ticker,name,sector,industry,marketCap
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,Financial Services,Banks - Regional,402035044253696
BMRI.JK,PT Bank Mandiri (Persero) Tbk,Financial Services,Banks - Regional,355600005332992
BBCA.JK,PT Bank Central Asia Tbk,Financial Services,Banks - Regional,688106911039488
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,Financial Services,Banks - Regional,115496074608640
TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,Telecom Services,240826835795968
ASII.JK,PT Astra International Tbk,Industrials,Conglomerates,184293557010432
UNVR.JK,PT Unilever Indonesia Tbk,Consumer Defensive,Household & Personal Products,67416688164864
ADRO.JK,PT Alamtri Resources Indonesia Tbk,Energy,Thermal Coal,65089113686016
GGRM.JK,PT Gudang Garam Tbk,Consumer Defensive,Tobacco,30785409122304
HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk,Consumer Defensive,Tobacco,76769931558912
ICBP.JK,PT Indofood CBP Sukses Makmur Tbk,Consumer Defensive,Packaged Foods,79300975919104
INDF.JK,PT Indofood Sukses Makmur Tbk,Consumer Defensive,Packaged Foods,57950815125504
KLBF.JK,PT Kalbe Farma Tbk.,Healthcare,Drug Manufacturers - General,34615377002496
SMGR.JK,PT Semen Indonesia (Persero) Tbk,Basic Materials,Building Materials,9429762179072
PTBA.JK,PT Bukit Asam (Persero) Tbk,Energy,Thermal Coal,26367877971968
EXCL.JK,PT XLSMART Telecom Sejahtera Tbk,Communication Services,Telecom Services,43133677076480
JSMR.JK,PT Jasa Marga (Persero) Tbk,Industrials,Infrastructure Operations,19160780242944
PGAS.JK,PT Perusahaan Gas Negara (Persero) Tbk,Utilities,Utilities - Regulated Gas,33089659076608
ANTM.JK,PT Antam (Persero) Tbk,Basic Materials,Gold,62720296615936
CTRA.JK,PT Ciputra Development Tbk,Real Estate,Real Estate - Development,10287310700544
