ticker,yahoo_ticker,name,sector,industry,marketCap,currency
BBRI,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,Financial Services,Banks - Regional,402035044253696,IDR
BMRI,BMRI.JK,PT Bank Mandiri (Persero) Tbk,Financial Services,Banks - Regional,355600005332992,IDR
BBCA,BBCA.JK,PT Bank Central Asia Tbk,Financial Services,Banks - Regional,688106911039488,IDR
BBNI,BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,Financial Services,Banks - Regional,115496074608640,IDR
BDMN,BDMN.JK,PT Bank Danamon Indonesia Tbk,Financial Services,Banks - Regional,36455351058432,IDR
BNGA,BNGA.JK,PT Bank CIMB Niaga Tbk,Financial Services,Banks - Regional,38560187023360,IDR
BNLI,BNLI.JK,PT Bank Permata Tbk,Financial Services,Banks - Regional,83578830454784,IDR
NISP,NISP.JK,PT Bank OCBC NISP Tbk,Financial Services,Banks - Regional,26501816778752,IDR
MAYA,MAYA.JK,PT Bank Mayapada Internasional Tbk,Financial Services,Banks - Regional,4893389094912,IDR
BNII,BNII.JK,PT Bank Maybank Indonesia Tbk,Financial Services,Banks - Regional,14023596703744,IDR
AGRO,AGRO.JK,PT Bank Raya Indonesia Tbk,Financial Services,Banks - Regional,3281051189248,IDR
BJBR,BJBR.JK,PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,Financial Services,Banks - Regional,7891082280960,IDR
BJTM,BJTM.JK,PT Bank Pembangunan Daerah Jawa Timur Tbk,Financial Services,Banks - Regional,7582826102784,IDR
BSIM,BSIM.JK,PT Bank Sinarmas Tbk,Financial Services,Banks - Regional,13604151623680,IDR
BTPN,BTPN.JK,PT Bank SMBC Indonesia Tbk,Financial Services,Banks - Regional,22569405120512,IDR
INPC,INPC.JK,PT Bank Artha Graha Internasional Tbk,Financial Services,Banks - Regional,2507703058432,IDR
MEGA,MEGA.JK,PT Bank Mega Tbk,Financial Services,Banks - Regional,46958995570688,IDR
SDRA,SDRA.JK,PT Bank Woori Saudara Indonesia 1906 Tbk,Financial Services,Banks - Regional,3085359906816,IDR
NOBU,NOBU.JK,PT Bank Nationalnobu Tbk,Financial Services,Banks - Regional,3111032717312,IDR
PNBN,PNBN.JK,PT Bank Pan Indonesia Tbk,Financial Services,Banks - Regional,21062888718336,IDR
UNVR,UNVR.JK,PT Unilever Indonesia Tbk,Consumer Defensive,Household & Personal Products,67416688164864,IDR
HMSP,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk,Consumer Defensive,Tobacco,76769931558912,IDR
GGRM,GGRM.JK,PT Gudang Garam Tbk,Consumer Defensive,Tobacco,30785409122304,IDR
ICBP,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk,Consumer Defensive,Packaged Foods,79300975919104,IDR
INDF,INDF.JK,PT Indofood Sukses Makmur Tbk,Consumer Defensive,Packaged Foods,57950815125504,IDR
MYOR,MYOR.JK,PT Mayora Indah Tbk,Consumer Defensive,Packaged Foods,40051043991552,IDR
ROTI,ROTI.JK,PT Nippon Indosari Corpindo Tbk,Consumer Defensive,Packaged Foods,3429588008960,IDR
SKLT,SKLT.JK,PT Sekar Laut Tbk,Consumer Defensive,Packaged Foods,1079180132352,IDR
ULTJ,ULTJ.JK,PT Ultrajaya Milk Industry & Trading Company Tbk,Consumer Defensive,Beverages - Non-Alcoholic,13569618870272,IDR
