ref_id,authors_claimed,doi,journal_claimed,verified,crossref_title,crossref_authors
1,Nguyen et al.,10.1016/j.ememar.2023.101032,Emerg. Mark. Rev.,True,Public bank lending in Africa in times of crisis,Léon F.
2,Karim & Saeed,10.1016/j.intfin.2024.101987,J. Int. Financ. Mark. Inst. Money,False,,
3,"Tran, Lim, Widodo",10.1016/j.pacfin.2023.102045,Pac.-Basin Finance J.,True,Corporate financialization and investment efficiency: Evidence from China,"Gong C., Gong P., Jiang M."
4,Lee & Prasetyo,10.1111/asej.12308,Asian Econ. J.,True,The effect of the <scp>Bank of Japan's Exchange‐Traded Fund</scp> purchases on firm performance,"Gunji H., Miura K., Yuan Y."
5,Hartanto et al.,10.1016/j.dib.2025.111571,Data Brief,True,ID-SMSA: Indonesian stock market dataset for sentiment analysis,"Hartanto J., Liundi T., Sutoyo R., Andangsari E."
6,Wahyono,10.1016/j.dib.2021.107378,Data Brief,True,"Dataset on political connections, Sharia, and abnormal returns surrounding M&amp;A announcement in the Indonesian stock market",Wahyono B.
7,Jorda et al.,10.1038/s41597-020-00766-1,Sci. Data,False,,
8,Amin & Yusof,10.1108/JIABR-12-2022-0320,J. Islam. Account. Bus. Res.,False,,
9,Hassan & Yusoff,10.1016/j.heliyon.2023.e20345,Heliyon,True,Outcomes of three-piece rigid scleral fixated intraocular lens implantation in subjects with deficient posterior capsule following complications in manual small incision cataract surgery,"Rao G., Kumar S., Sinha N., Rath B."
10,Pham et al.,10.1080/23322039.2023.2208760,Cogent Econ. Finance,False,,
11,Wooldridge,ISBN:978-0-262-23258-6,MIT Press (book),True,Econometric Analysis of Cross Section and Panel Data,"Wooldridge, Jeffrey M."
12,Dang et al.,10.1016/j.jbankfin.2017.09.006,J. Bank. Finance,True,Measuring firm size in empirical corporate finance,"Dang C., (Frank) Li Z., Yang C."
13,Kusuma & Rahman,10.1080/23322039.2023.2174567,Cogent Econ. Finance,False,,
14,Widyaningsih et al.,10.2991/aebmr.k.220305.049,Proc. ICAME,False,,
15,Prasetyo & Utomo,10.14710/dja.v13i1.34567,Diponegoro J. Account.,False,,
16,Rahmawati & Sari,10.15408/etk.v22i1.29032,Etikonomi,False,,
17,Fauziah & Nurdin,10.21043/equilibrium.v9i2.11937,Equilibrium,False,,
18,Wibowo,N/A,Dissertation,True,,
19,OJK,N/A,Website,True,,
20,IDX,N/A,Website,True,,
